batter,bowler,balls_with_commentary,avg_sentiment_score,boundary_pct,dot_pct,dominant_pct,controlled_pct,mistimed_pct,beaten_pct,defensive_pct,pressure_index
AGS Gous,D Heyliger,7,0.0,0.0,0.4286,0.0,0.5714,0.0,0.2857,0.1429,0.2857
AGS Gous,G Motie,2,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
AGS Gous,Haris Rauf,4,0.25,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0
AGS Gous,Iftikhar Ahmed,2,0.25,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0
AGS Gous,JOA Gordon,6,0.0,0.0,0.8333,0.0,0.3333,0.0,0.1667,0.5,0.1667
AGS Gous,K Rabada,10,0.25,0.1,0.5,0.1,0.5,0.0,0.1,0.3,0.0
AGS Gous,KA Maharaj,9,0.4444,0.0,0.1111,0.0,0.8889,0.0,0.0,0.1111,0.0
AGS Gous,Kaleem Sana,7,-0.2857,0.0,0.7143,0.0,0.2857,0.0,0.4286,0.2857,0.4286
AGS Gous,M Jansen,6,0.3333,0.0,0.6667,0.1667,0.3333,0.0,0.0,0.5,-0.1667
AGS Gous,N Dutta,3,0.0,0.0,0.3333,0.0,0.3333,0.3333,0.0,0.3333,0.3333
AGS Gous,Naseem Shah,7,0.1429,0.0,0.8571,0.0,0.2857,0.0,0.0,0.7143,0.0
AGS Gous,Pargat Singh,2,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
AGS Gous,RJW Topley,3,-0.1667,0.0,0.6667,0.0,0.0,0.3333,0.0,0.6667,0.3333
AGS Gous,Saad Bin Zafar,8,0.1875,0.0,0.5,0.0,0.625,0.0,0.125,0.25,0.125
AGS Gous,Shadab Khan,6,0.25,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0
AGS Gous,T Shamsi,9,0.6111,0.2222,0.2222,0.3333,0.5556,0.0,0.0,0.1111,-0.3333
AJ Finch,AJ Hosein,4,0.125,0.0,0.75,0.0,0.25,0.0,0.0,0.75,0.0
AJ Finch,AU Rashid,10,0.25,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0
AJ Finch,B Fernando,2,0.5,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0
AJ Finch,BJ McCarthy,9,0.1667,0.1111,0.3333,0.1111,0.5556,0.0,0.2222,0.1111,0.1111
AJ Finch,C Karunaratne,11,0.0909,0.0909,0.4545,0.0909,0.4545,0.0909,0.1818,0.1818,0.1818
AJ Finch,CBRLS Kumara,13,-0.0385,0.0,0.7692,0.0,0.2308,0.0,0.1538,0.6154,0.1538
AJ Finch,CJ Jordan,9,0.1667,0.0,0.4444,0.0,0.4444,0.1111,0.0,0.4444,0.1111
AJ Finch,CR Woakes,7,0.2143,0.0,0.5714,0.0,0.4286,0.0,0.0,0.5714,0.0
AJ Finch,DM de Silva,4,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
AJ Finch,F Hand,1,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
AJ Finch,GH Dockrell,10,0.35,0.1,0.4,0.1,0.5,0.0,0.0,0.4,-0.1
AJ Finch,GJ Delany,3,0.0,0.0,0.6667,0.0,0.6667,0.0,0.3333,0.0,0.3333
AJ Finch,J Little,11,0.1364,0.0909,0.5455,0.0909,0.2727,0.1818,0.0,0.4545,0.0909
AJ Finch,JO Holder,3,-0.1667,0.0,0.6667,0.0,0.3333,0.0,0.3333,0.3333,0.3333
AJ Finch,K Rabada,4,-0.25,0.0,1.0,0.0,0.0,0.0,0.25,0.75,0.25
AJ Finch,LS Livingstone,11,0.2727,0.0,0.2727,0.0,0.7273,0.0,0.0909,0.1818,0.0909
